"","NUME","CMR","Data","Temp"
"287","Sf. Gheorghe","TransilvaniaS","X1963.01.01",7.1822190284729
"288","Deva","Banat-Crisana","X1963.01.01",9.41290378570557
"289","Sebes","TransilvaniaS","X1963.01.01",9.3701639175415
"290","Tg. Seciuesc","TransilvaniaS","X1963.01.01",7.15646553039551
"291","Sannicolau Mare","Banat-Crisana","X1963.01.01",10.2565755844116
"292","Alba Iulia","TransilvaniaS","X1963.01.01",9.53402709960938
"293","Baraolt","TransilvaniaS","X1963.01.01",7.17221927642822
"294","Adjud","Moldova","X1963.01.01",9.42654800415039
"295","Arad","Banat-Crisana","X1963.01.01",10.0740547180176
"296","Dumbraveni","TransilvaniaS","X1963.01.01",8.48526000976562
"297","Barlad","Moldova","X1963.01.01",9.37027359008789
"298","Tg. Ocna","Moldova","X1963.01.01",8.33123302459717
"299","Miercurea Ciuc","TransilvaniaS","X1963.01.01",6.00728750228882
"300","Chisineu Cris","Banat-Crisana","X1963.01.01",10.1102466583252
"301","Tg. Mures","TransilvaniaS","X1963.01.01",8.64011001586914
"302","Baisoara","TransilvaniaN","X1963.01.01",4.29920530319214
"303","Bacau","Moldova","X1963.01.01",8.79216480255127
"304","Bucin","TransilvaniaS","X1963.01.01",4.82827377319336
"305","Vaslui","Moldova","X1963.01.01",8.36465740203857
"306","Stana de Vale","Banat-Crisana","X1963.01.01",4.61334228515625
"307","Joseni","TransilvaniaS","X1963.01.01",5.75062990188599
"308","Sarmasu","TransilvaniaS","X1963.01.01",8.15906810760498
"309","Holod","Banat-Crisana","X1963.01.01",9.81547927856445
"310","Vladeasa 1800","TransilvaniaN","X1963.01.01",4.40328788757324
"311","Cluj-Napoca","TransilvaniaN","X1963.01.01",8.70364379882812
"312","Negresti","Moldova","X1963.01.01",8.47879409790039
"313","Roman","Moldova","X1963.01.01",8.46564388275146
"314","Ceahlau Toaca","Moldova","X1963.01.01",6.60671234130859
"315","Piatra Neamt","Moldova","X1963.01.01",8.15438365936279
"316","Borod","Banat-Crisana","X1963.01.01",8.61213684082031
"317","Oradea","Banat-Crisana","X1963.01.01",9.78589057922363
"318","Bistrita","TransilvaniaN","X1963.01.01",7.36895895004272
"319","Dej","TransilvaniaN","X1963.01.01",8.91471195220947
"320","Iasi","Moldova","X1963.01.01",8.84282207489014
"321","Zalau","TransilvaniaN","X1963.01.01",8.85591793060303
"322","Cotnari","Moldova","X1963.01.01",8.43041133880615
"323","Supuru de Jos","TransilvaniaN","X1963.01.01",9.70002746582031
